Stream Name,Latitude,Longitude,Date,Approx. Dist. (km),Steelhead Observed,Observed fish/km,Notes,,,,,
Gold River,49.68111,-126.11250,1997-08-06,13.4,282,21.0,Trio Cr. Conf. - Fire Break,,,,,
Nahmint River,49.06222,-124.88417,1997-08-14,,177,,200m u/s Cascade - Danny Lee's,,,,,
Puntledge River,49.69583,-124.99472,1997-08-05,,2,,Diversion - Hatchery Fence,,,,,
Tsitika River,50.48056,-126.58639,1997-08-07,,187,,"Fannin?s Fan -  Washout Cr., Slide Hole - WSC Station ",,,,,
White River,50.30722,-125.90250,1997-08-09,7.0,76,10.9,White R. ML Br. - Falls in Middle of Upper Canyon,,,,,
Ash River,49.36194,-124.97806,1998-09-17,5.2,117,22.5, Includes spot swim conducted in Dickson Falls pools.,,,,,
Ash River,49.36194,-124.97806,1998-10-22,5.5,29,5.3,,,,,,
Big Qualicum River,49.39806,-124.61028,1998-08-20,8.0,1,0.1, Purpose of swim was evaluation of resident rainbow trout and utilization of newly created habitat.,,,,,
Campbell River,50.04861,-125.25833,1998-08-04,3.4,6,1.8,,,,,,
Campbell River,50.04861,-125.25833,1998-09-10,3.4,4,1.2, Purpose of swim was to evaluate rainbow fry and parr abundance within the Lower Campbell River.,,,,,
Campbell River,50.04861,-125.25833,1998-10-13,3.4,4,1.2,,,,,,
Caycuse River,48.79722,-124.68278,1998-09-22,3.3,262,79.4,,,,,,
Chemainus River,48.89778,-123.67167,1998-08-21,2.6,6,2.3,,,,,,
China Creek,49.15278,-124.79028,1998-10-06,#N/A,7,#N/A, Spot swim of Bamfield Road bridge pool.,,,,,
China Creek,49.15278,-124.79028,1998-10-19,5.0,14,2.8,,,,,,
Claude Elliot Creek,50.34694,-126.50500,1998-09-28,0.5,5,10.0, Purpose of swim was to look for Atlantic salmon juveniles and/or adults.  None were observed.  ,,,,,
Cous Creek,49.18361,-124.82944,1998-10-26,6.8,82,12.1,,,,,,
Gold River,49.68111,-126.11250,1998-08-05,13.4,268,20.0,,,,,,
Gordon River,48.57611,-124.41444,1998-09-22,10.4,494,47.5,,,,,,
Harris Creek,48.58222,-124.27556,1998-09-24,8.8,33,3.8,,,,,,
Harris Creek,48.58222,-124.27556,1998-10-20,8.8,54,6.1,,,,,,
Heber River,49.77389,-126.05167,1998-09-23,8.6,394,45.8,,,,,,
Kokish River,50.53139,-126.87139,1998-08-21,3.5,54,15.4,,,,,,
Nahmint River     ,49.06222,-124.88417,1999-09-23,6.8,366,53.8,,,,,,
Puntledge River,49.69583,-124.99472,1998-08-26,6.4,11,1.7,,,,,,
Puntledge River,49.69583,-124.99472,1998-12-18,2.4,2,0.8,,,,,,
Stamp River,49.29417,-124.88333,1998-08-19,7.0,121,17.3,,,,,,
Stamp River,49.29417,-124.88333,1999-01-29,2.5,28,11.2, Includes spot swims of Robertson Creek and Stamp Lagoon near hatchery. ,,,,,
Tsitika River,50.48056,-126.58639,1998-08-06,9.2,164,17.8,,,,,,
Tsitika River,50.48056,-126.58639,1998-09-26,3.5,41,11.7, Purpose of swim was to look for Atlantic salmon juveniles and/or adults.  None were observed.  ,,,,,
Tsitika River,50.48056,-126.58639,1998-09-27,8.5,98,11.5, Purpose of swim was to look for Atlantic salmon juveniles and/or adults.  None were observed.  ,,,,,
White River,50.30722,-125.90250,1998-08-08,9.5,45,4.7,,,,,,
Ash River,49.36194,-124.97806,1999-09-24,5.2,142,27.3,,,,,,
Campbell River,50.04861,-125.25833,1999-08-12,3.4,0,0.0, Survey conducted at discharge of 64.4 m3/s (normal summer low = 35 m3/s),,,,,
Caycuse River,48.79722,-124.68278,1999-09-28,3.1,342,110.3,,,,,,
Gold River,49.68111,-126.11250,1999-08-04,13.4,203,15.1,,,,,,
Gold River,49.68111,-126.11250,1999-09-21,6.4,245,38.3, Resurvey of upper index section only (high flows on Aug. 4 necessitated second swim),,,,,
Gordon River,48.57611,-124.41444,1999-09-29,3.5,55,15.7,,,,,,
Gordon River,48.57611,-124.41444,1999-10-05,10.7,327,30.6,,,,,,
Harris Creek,48.58222,-124.27556,1999-09-30,6.7,1,0.1,,,,,,
Harris Creek,48.58222,-124.27556,1999-10-01,9.6,162,16.9,,,,,,
Heber River,49.77389,-126.05167,1999-09-20,8.5,233,27.4,,,,,,
Little Qualicum River,49.36500,-124.49472,1999-10-07,6.8,0,0.0, Survey conducted for juvenile steelhead and adult cutthroat,,,,,
Oyster River,49.87250,-125.11583,1999-10-06,9.7,1,0.1, Survey conducted for juvenile steelhead and adult cutthroat,,,,,
Nahmint River,49.06222,-124.88417,1999-09-23,11.3,368,32.6, Includes 4.5 km section above Nahmint Lake which held 16 fish/km  ,,,,,
Puntledge River,49.69583,-124.99472,1999-09-01,6.4,6,0.9,,,,,,
Stamp River,49.29417,-124.88333,1999-09-22,7.0,56,8.0,,,,,,
Tsitika River,50.48056,-126.58639,1999-08-05,9.2,44,4.8,,,,,,
Tsitika River,50.48056,-126.58639,1999-08-06,4.5,0,0.0, Primary objective was to assess presence/absence of Atlantic salmon juveniles and adults,,,,,
Tsitika River,50.48056,-126.58639,1999-08-18,2.6,18,6.9,,,,,,
Tsitika River,50.48056,-126.58639,1999-09-20,6.0,66,11.0, Resurvey of lower index section only (high flows on Aug. 5 necessitated second swim),,,,,
Tsitika River,50.48056,-126.58639,1999-10-18,9.2,35,3.8, Primary objective was to assess presence/absence of Atlantic salmon juveniles and adults,,,,,
Ahnuhati River,50.88295,-125.63629,2000-10-13,8.00,0,0.0, Primary purpose of survey was to look for Atlantic salmon adults and/or juveniles.,,,,,
Ash River,49.36194,-124.97806,2000-09-28,4.50,146,32.4,,,,,,
Ash River,49.36194,-124.97806,2001-01-31,2.70,31,11.5,,,,,,
Ash River,49.36194,-124.97806,2001-02-01,1.20,54,45.0,,,,,,
Campbell River,50.04861,-125.25833,2000-07-17,3.4,0,0.0,,,,,,
Caycuse River,48.79722,-124.68278,2000-09-25,3.1,480,154.8,,,,,,
Drinkwater ,49.39500,-125.41667,2000-10-10,3.5,1,0.3,,,,,,
Gold River,49.68111,-126.11250,2000-08-02,12.7,457,36.0,,,,,,
Gordon River,48.57611,-124.41444,2000-09-25,7.0,295,42.1,,,,,,
Harris Creek,48.58222,-124.27556,2000-10-05,7.5,146,19.5,,,,,,
Heber River,49.77389,-126.05167,2000-09-18,8.5,385,45.3,,,,,,
Kokish River,50.53139,-126.87139,2000-08-03,3.5,22,6.3,,,,,,
Kwalate Creek,49.36500,-124.49472,2000-10-14,6.0,6,1.0, Primary purpose of survey was to look for Atlantic salmon adults and/or juveniles.,,,,,
Little Qualicum River,49.36500,-124.49472,2000-10-04,7.3,0,0.0, Primary purpose of swim was to enumerate cutthroat trout.,,,,,
McBride Creek,49.38972,-125.42694,2000-10-10,3.3,1,0.3,,,,,,
Nahmint River   ,49.06222,-124.88417,2000-08-16,7.0,558,79.7, Includes spot swims of two pools (200 m total length) upstream of Nahmint Lake which held 73 steelhead.,,,,,
Oyster River,49.87250,-125.11583,2000-11-22,9.7,1,0.1, Primary purpose of swim was to enumerate cutthroat trout.,,,,,
Puntledge River,49.69583,-124.99472,2000-08-04,2.5,15,6.0,,,,,,
Puntledge River,49.69583,-124.99472,2000-08-18,3.9,20,5.1,,,,,,
Puntledge River,49.69583,-124.99472,2000-08-18,#N/A,45,#N/A, Estimate of steelhead holding in the upper (30) and lower (15) hatchery sites on the day of the upper river survey.,,,,,
Puntledge River,49.69583,-124.99472,2001-01-30,0.7,25,#N/A, Survey to find Floy tagged fish from Cruickshank releases.,,,,,
San Juan River,48.55972,-124.39861,2000-11-15,2.3,11,4.8,,,,,,
Stamp River,49.29417,-124.88333,2000-08-08,7.3,99,13.6,,,,,,
Toquart River,49.03583,-125.35750,2000-08-17,3.3,40,12.1,,,,,,
Tsitika River,50.48056,-126.58639,2000-08-01,10.7,104,9.7,,,,,,
White River,50.30722,-125.90250,2000-08-04,5.0,19,3.8,,,,,,
Ash River,49.36194,-124.97806,2001-09-12,9.5,249,26.2,,,,,,
Ash River,49.36194,-124.97806,2002-01-24,1.2,13,10.8,,,,,,
Ash River,49.36194,-124.97806,2002-02-14,1.5,6,4.0,,,,,,
Campbell River,50.04861,-125.25833,2001-07-30,3.4,2,0.6,,,,,,
Caycuse River,48.79722,-124.68278,2001-09-19,3.1,237,76.5,,,,,,
Gold River,49.68111,-126.11250,2001-07-31,13.4,272,20.3,,,,,,
Gordon River,48.57611,-124.41444,2001-09-14,10.5,262,25.0,,,,,,
Harris Creek,48.58222,-124.27556,2001-10-04,7.5,147,19.6,,,,,,
Heber River,49.77389,-126.05167,2001-09-18,8.5,387,45.5,,,,,,
Nahmint River      ,49.06222,-124.88417,2001-08-30,5.9,68,11.6,,,,,,
Puntledge River,49.69583,-124.99472,2001-08-02,3.5,7,2.0,,,,,,
Puntledge River,49.69583,-124.99472,2001-10-03,5.8,12,2.1,,,,,,
San Juan River,48.55972,-124.39861,2002-01-25,1.2,23,19.2," A total of 8 km was surveyed, including 1.6 km above a falls to confirm its status as a barrier.",,,,,
Stamp River,49.29417,-124.88333,2001-07-05,7.8,17,2.2,,,,,,
Stamp River,49.29417,-124.88333,2001-07-11,7.3,17,2.3,,,,,,
Stamp River,49.29417,-124.88333,2001-09-12,0.8,245,#N/A, Spot swim from Ash confluence to Money's Pool at the end of the Ash River survey.,,,,,
Toquart River,49.03583,-125.35750,2001-09-11,2.5,38,15.2,,,,,,
Tsitika River,50.48056,-126.58639,2001-08-01,12.9,119,9.2,,,,,,
Ash River,49.36194,-124.97806,2002-10-02,4.4,72,16.4,,,,,,
Caycuse River,48.79722,-124.68278,2002-11-28,3.1,205,66.1,,,,,,
Gold River,49.68111,-126.11250,2002-07-31,13.4,277,20.7,,,,,,
Gordon River,48.57611,-124.41444,2002-09-16,10.5,318,30.3,,,,,,
Harris Creek,48.58222,-124.27556,2002-12-02,7.5,147,19.6,,,,,,
Heber River,49.77389,-126.05167,2002-09-23,8.5,301,35.4,,,,,,
Nahmint River      ,49.06222,-124.88417,2002-08-16,6.8,410,60.3,,,,,,
Puntledge River,49.69583,-124.99472,2002-10-03,6.5,9,1.4,,,,,,
Puntledge River,49.69583,-124.99472,2002-11-29,3.0,1,0.3,,,,,,
Stamp River,49.29417,-124.88333,2002-08-19,9.9,201,20.3,,,,,,
Tsitika River,50.48056,-126.58639,2002-08-01,9.2,129,14.0,,,,,,
Ash River,49.36194,-124.97806,2003-09-30,4.4,51,11.6,,,,,,
Campbell River,50.04861,-125.25833,2003-08-01,2.0,1,0.5,,,,,,
Campbell River,50.04861,-125.25833,2003-11-06,2.0,2,1.0,,,,,,
Caycuse River,48.79722,-124.68278,2003-11-04,3.1,107,34.5,,,,,,
Gold River,49.68111,-126.11250,2003-07-30,12.4,114,9.2,,,,,,
Gordon River,48.57611,-124.41444,2003-10-03,10.5,199,19.0,,,,,,
Heber River,49.77389,-126.05167,2003-10-02,8.5,230,27.1,,,,,,
Nahmint River      ,49.06222,-124.88417,2003-08-19,6.8,148,21.8,,,,,,
Puntledge River,49.69583,-124.99472,2003-08-14,6.5,13,2.0,,,,,,
Puntledge River,49.69583,-124.99472,2003-11-27,3.0,3,1.0,,,,,,
Puntledge River,49.69583,-124.99472,2003-12-04,3.5,0,0.0,,,,,,
Stamp River,49.29417,-124.88333,2003-08-20,7.3,189,25.9,,,,,,
Stamp River,49.29417,-124.88333,2003-09-11,2.6,23,8.8,,,,,,
Tsitika River,50.48056,-126.58639,2003-07-31,9.2,73,7.9,,,,,,
Ash River,49.36194,-124.97806,2004-09-30,4.4,58,13.2,,,,,,
Campbell River,50.04861,-125.25833,2004-07-28,3.4,0,0.0,,,,,,
Campbell River,50.04861,-125.25833,2004-10-04,2.0,5,2.5,,,,,,
Chemainus River,48.89778,-123.67167,2004-11-29,9.4,0,0.0,,,,,,
Gold River,49.68111,-126.11250,2004-07-27,13.4,101,7.5,,,,,,
Gordon River,48.57611,-124.41444,2004-10-01,7.0,79,11.3,,,,,,
Harris Creek,48.58222,-124.27556,2004-09-22,7.5,68,9.1,,,,,,
Heber River,49.77389,-126.05167,2004-09-29,8.5,122,14.4,,,,,,
Kaipit Creek,50.25222,-126.80333,2005-01-05,8.1,4,0.5,,,,,,
Nahmint River      ,49.06222,-124.88417,2004-08-19,6.8,213,31.3,,,,,,
Puntledge River,49.69583,-124.99472,2004-08-26,6.5,4,0.6,,,,,,
Puntledge River,49.69583,-124.99472,2004-12-03,6.5,1,0.2,,,,,,
Stamp River,49.29417,-124.88333,2004-08-18,13.3,71,5.3,,,,,,
Stamp River,49.29417,-124.88333,2004-09-14,7.3,54,7.4,,,,,,
Tsitika River,50.48056,-126.58639,2004-07-29,9.2,67,7.3,,,,,,
Ash River,49.36194,-124.97806,2005-08-17,6.4,110,17.2,,,,,,
Ash River,49.36194,-124.97806,2005-09-14,4.4,58,13.2,,,,,,
Ash River,49.36194,-124.97806,2005-09-19,5.6,80,14.3,,,,,,
Campbell River,50.04861,-125.25833,2005-08-02,3.4,0,0.0,,,,,,
Campbell River,50.04861,-125.25833,2005-10-15,2.0,4,2.0,,,,,,
Campbell River,50.04861,-125.25833,2006-02-15,2.0,5,2.5,,,,,,
Caycuse River,48.79722,-124.68278,2005-12-14,3.1,76,24.5,,,,,,
Chemainus River,48.89778,-123.67167,2005-09-02,#N/A,6,#N/A," Spot swim of Chipman confluence, pool immed. U.s, and of Chipman Bridge Pool.  2 of 6 fish were small, likely one year in salt.",,,,,
Gold River,49.68111,-126.11250,2005-08-04,13.4,87,6.5,,,,,,
Gordon River,48.57611,-124.41444,2005-12-14,3.5,11,3.1,,,,,,
Harris Creek,48.58222,-124.27556,2005-09-26,7.5,87,11.6,,,,,,
Heber River,49.77389,-126.05167,2005-09-27,8.5,150,17.6,,,,,,
Nahmint River      ,49.06222,-124.88417,2005-07-22,5.0,76,15.2,,,,,,
Nahmint River      ,49.06222,-124.88417,2005-08-19,6.8,235,34.6,,,,,,
Stamp River,49.29417,-124.88333,2005-08-17,0.8,15,18.8," End of Ash survey, from Ash confluence to Bear Creek.",,,,,
Stamp River,49.29417,-124.88333,2005-08-18,12.5,175,14.0,,,,,,
Stamp River,49.29417,-124.88333,2005-09-14,0.8,55,68.8," End of Ash survey, from Ash confluence to Bear Creek.",,,,,
Stamp River,49.29417,-124.88333,2005-09-19,0.8,100,125.0," End of Ash survey, from Ash confluence to Bear Creek.",,,,,
Tsitika River,50.48056,-126.58639,2005-08-10,10.0,63,6.3,,,,,,
White River,50.30722,-125.90250,2005-08-03,5.0,12,2.4,,,,,,
Ash River,49.36194,-124.97806,2006-07-20,4.4,90,20.5, Survey is part of Hydro WUP monitoring,,,,,
Ash River,49.36194,-124.97806,2006-08-10,4.4,43,9.8, Survey is part of Hydro WUP monitoring,,,,,
Ash River,49.36194,-124.97806,2006-10-27,4.4,64,14.5,,,,,,
Browns River,49.68917,-125.05028,2006-07-26,1.5,0,0.0,,,,,,
Gold River,49.68111,-126.11250,2006-08-02,13.4,81,6.0,,,,,,
Gordon River,48.57611,-124.41444,2006-09-27,7.0,373,53.3,,,,,,
Heber River,49.77389,-126.05167,2006-09-28,8.5,286,33.6,,,,,,
Nahmint River,49.06222,-124.88417,2006-08-04,6.8,316,46.5,,,,,,
Stamp River,49.29417,-124.88333,2006-07-20,0.8,79,98.8," End of Ash WUP survey, from Ash confluence to end of Money's Pool.",,,,,
Stamp River,49.29417,-124.88333,2006-08-10,0.8,105,131.3," End of Ash WUP survey, from Ash confluence to end of Money's Pool.",,,,,
Stamp River,49.29417,-124.88333,2006-08-17,13.3,169,12.7,,,,,,
Tsitika River,50.48056,-126.58639,2006-08-03,9.2,139,15.1,,,,,,
Gold River,49.68111,-126.11250,2007-08-28,13.4,240,17.9,,,,,,
Heber River,49.77389,-126.05167,2007-09-12,8.5,178,20.9,,,,,,
Nahmint River,49.06222,-124.88417,2007-08-31,5.0,283,56.6," Only upper section completed (lake outlet to bridge) due to manpower/funding shortage.  First year without dedicated stock assessment funding (from HCTF).  As a result, few swims were done, and most were mainly funded by MAFF re Atlantic presence/absence.",,,,,
Tsitika River,50.48056,-126.58639,2007-09-11,9.2,103,11.2,,,,,,
Heber River,49.77389,-126.05167,2008-09-10,8.5,156,18.4,,,,,,
Gordon River,48.57611,-124.41444,2008-10-02,7.0,112,16.0,,,,,,
Tsitika River,50.48056,-126.58639,2009-09-11,9.2,194,21.1,,,,,,
Heber River,49.77389,-126.05167,2009-09-11,8.5,212,24.9,,,,,,
Gordon River,48.57611,-124.41444,2009-09-25,7.0,130,18.6,,,,,,
Tsitika River,50.48056,-126.58639,2009-08-07,9.2,253,27.5,,,,,,
Ash River,49.36194,-124.97806,2009-08-28,4.4,30,6.8,  Swims conducted by Ecofish Research for BC Hydro WUP planning.,,,,,
Ash River,49.36194,-124.97806,2009-09-02,4.4,63,14.3,  Swims conducted by Ecofish Research for BC Hydro WUP planning.,,,,,
Ash River,49.36194,-124.97806,2009-09-17,4.4,82,18.6,  Swims conducted by Ecofish Research for BC Hydro WUP planning.,,,,,
Ash River,49.36194,-124.97806,2009-09-22,4.4,101,23.0,  Swims conducted by Ecofish Research for BC Hydro WUP planning.,,,,,
Heber River,49.77389,-126.05167,2010-09-10,8.5,364,42.8,,,,,,
Tsitika River,50.48056,-126.58639,2010-08-31,9.2,199,21.6,,,,,,
Heber River,49.77389,-126.05167,2011-09-01,8.5,229,26.9,,,,,,
Gordon River,48.57611,-124.41444,2011-09-08,7.0,647,92.4,,,,,,
Tsitika River,50.48056,-126.58639,2011-08-31,9.2,242,26.3,,,,,,
Heber River,49.77389,-126.05167,2012-09-26,8.5,283,33.3,,,,,,
Gordon River,48.57611,-124.41444,2012-09-13,7.0,522,74.6,,,,,,
Tsitika River,50.48056,-126.58639,2012-08-23,9.2,269,29.2,,,,,,
Heber River,49.77389,-126.05167,2013-09-10,8.5,185,21.8,,,,,,
Gordon River,48.57611,-124.41444,2013-07-23,7.0,326,46.6,,,,,,
Tsitika River,50.48056,-126.58639,2013-09-06,9.2,75,8.2,,,,,,
Heber River,49.77389,-126.05167,2014-09-30,8.5,212,24.9,,,,,,
Gordon River,48.57611,-124.41444,2014-07-24,7.0,243,34.7,,,,,,
Gordon River,48.57611,-124.41444,2014-09-18,7.0,337,48.1,,,,,,
Tsitika River,50.48056,-126.58639,2014-09-11,9.2,231,25.1,,,,,,
Heber River,49.77389,-126.05167,2015-07-30,8.5,95,11.2,,,,,,
Heber River,49.77389,-126.05167,2015-09-14,8.5,103,12.1,,,,,,
Heber River,49.77389,-126.05167,2015-10-05,8.5,96,11.3,,,,,,
Gordon River,48.57611,-124.41444,2015-06-18,7.0,95,13.6,,,,,,
Gordon River,48.57611,-124.41444,2015-07-28,7.0,215,30.7,,,,,,
Tsitika River,50.48056,-126.58639,2015-09-15,9.2,122,13.3,,,,,,
