"HCTF stock assessment funding officially expired March 31, 2007 with the end of the VISRP.  A small portion was carried over to accomplish a few swims during peak in April.",,,,,,,,,,,,,,,
,,,,,,,HIDE THESE COLUMNS WHEN PRINTING,,,,,,,,
,,,,,,,Fish/km summary,,,,,,,,
,,,,,,,east coast,,west coast ,,central east,,,,
Stream Name,sequence,Latitude,Longitude,Date,Approx Dist (km),Steelhead Observed (H&W),fish/km,f/km,peak f/km,f/km,peak f/km,f/km,peak f/km,Notes,
Englishman River,1,?49.32556,-124.2917,2015-03-27,15.0,109,7.3,,,,,,,,
Englishman River,2,?49.32556,-124.2917,2015-04-08,15.0,106,7.1,,,,,,,,
Englishman River,3,?49.32556,-124.2917,2015-04-28,15.0,81,5.4,,,,,,,,
Chemainus River,4,48.8978,-123.6717,2015-06-08,4.6,33,7.3,,,,,,,26 km wall to lower Copper Canyon Bridge,
Cluxewe River,5,50.6117,-127.1775,2014-01-22,7.4,66,8.9,,,,,,,Survey of standard index conducted by NVISEA staff/volunteers.,
Englishman River,6,?49.32556,-124.2917,2014-03-25,15.0,39,2.6,,,,,,,,
Englishman River,7,?49.32556,-124.2917,2014-04-11,15.0,68,4.5,,,,,,,,
Englishman River,8,?49.32556,-124.2917,2014-04-24,15.0,62,4.1,,,,,,,,
Salmon River,9,50.0333,-125.2500,2014-03-24,11.5,39,3.4,,,,,,,"Standard Index, Kay Creek confluence to Pallans",
Salmon River,10,50.0333,-125.2500,2014-04-14,11.5,51,4.4,,,,,,,Diversion to Norberg Creek,
Salmon River,11,50.0333,-125.2500,2014-04-14,6.7,13,1.9,,,,,,,Rock Creek to Diversion,
Chemainus River,12,48.8978,-123.6717,2014-06-13,4.6,21,4.6,,,,,,,26 km wall to lower Copper Canyon Bridge,
Nimpkish River,13,50.5664,-126.9819,2014-01-23,6.0,6,1.0,,,,,,,Woss Falls to Eagles Nest,
Cluxewe River,14,50.6117,-127.1775,2013-01-17,7.4,170,23.0,,,,,,,Survey of standard index conducted by NVISEA staff/volunteers.,
Cluxewe River,15,50.6117,-127.1775,2013-02-20,7.4,230,31.1,,,,,,,,
Englishman River,16,?49.32556,-124.2917,2013-03-26,15.0,84,5.6,,,,,,,,
Englishman River,17,?49.32556,-124.2917,2013-03-27,15.0,87,5.8,,,,,,,,
Englishman River,18,?49.32556,-124.2917,2013-04-17,15.0,93,6.2,,,,,,,,
Englishman River,19,?49.32556,-124.2917,2013-04-25,15.0,89,5.9,,,,,,,,
Englishman River,20,?49.32556,-124.2917,2013-05-03,15.0,89,5.9,,,,,,,,
