cu_id,cu_name,stream_name,major_drainage,watershed_code,parkinson_cu,tautz_cu,phylogenetic_group,run_timing_full,run_timing,Shape_Length,Shape_Area,Latitude,Longitude
481,Nass Winter,SHUMAL CREEK,Nass,500178600,Nass Winter,,North Coast,Winter,,,,,
481,Nass Winter,ISHKHEENICKH RIVER,Nass,510,Nass Winter,,North Coast,Winter,,,,,
680,North Coast Winter,TANKEEAH RIVER,North Coast,910463800,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KAINET CREEK,North Coast,910500000,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,MUSSEL RIVER,North Coast,910514200,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,GREEN INLET CREEK,North Coast,910533000,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KHUTZE RIVER,North Coast,910545100,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,AALTANHASH RIVER,North Coast,910550600,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KILTUISH RIVER,North Coast,910593300,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KOWESAS RIVER,North Coast,910608300,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KITLOPE RIVER,North Coast,910617600,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,TSAYTIS RIVER,North Coast,910618500,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KEMANO RIVER,North Coast,910627400,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,BRIM RIVER,North Coast,910632400,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,WEEWANIE CREEK,North Coast,910649000,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KILDALA RIVER,North Coast,910659800,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,DALA RIVER,North Coast,910661200,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,WATHL CREEK,North Coast,910670400,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KITIMAT RIVER,North Coast,910673500,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,GILTTOYEES CREEK,North Coast,910695400,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,FOCH RIVER,North Coast,910704200,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,QUAAL RIVER,North Coast,910713900,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KEESIL CREEK,North Coast,910727100,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KUMOWDAH RIVER,North Coast,910740100,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,BRODIE LAKE CREEK,North Coast,910748900,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KUMEALON CREEK,North Coast,910768900,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KLOIYA RIVER,North Coast,910791900,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,SHAWATLAN RIVER,North Coast,910797600,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,LACHMACH RIVER,North Coast,910846300,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,TOON RIVER,North Coast,910855600,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,ENSHESHESE RIVER,North Coast,910863100,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KHUTZEYMATEEN RIVER,North Coast,910887500,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KWINAMASS RIVER,North Coast,910896600,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,STAGOO CREEK,North Coast,910919700,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KITSAULT RIVER,North Coast,910930200,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KSHWAN RIVER,North Coast,910941800,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,BONANZA CREEK,North Coast,910949800,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,BEAR RIVER,North Coast,910999400,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KISAMEET RIVER,North Coast,9.15E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KADJUSDIS RIVER,North Coast,9.15E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KWAKWA CREEK,North Coast,9.15E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,SURF RIVER,North Coast,9.15E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,WHALEN CREEK,North Coast,9.15E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,WALLER CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,BANKS LAKES CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,SOUTH BONILLA CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,END HILL CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KOORYET CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KEECHA CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,HEVENOR INLET CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,CAPTAIN COVE CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,PA-AAT RIVER,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,SALTER LAKE CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,TSIMTACK LAKE CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,KESWAR CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
680,North Coast Winter,USELESS CREEK,North Coast,9.16E+13,N. Coast Winter,,North Coast,Winter,,,,,
681,North Coast Summer,TRIUMPH RIVER,North Coast,910584500,N. Coast Summer,,North Coast,Summer,CS,,,,
681,North Coast Summer,BISH CREEK,North Coast,910677700,N. Coast Summer,,North Coast,Summer,W CS,,,,
681,North Coast Summer,KITKIATA CREEK,North Coast,910713300,N. Coast Summer,,North Coast,Summer,CS,,,,
681,North Coast Summer,CANOONA RIVER,North Coast,9.15E+13,N. Coast Summer,,North Coast,Summer,W CS,,,,
682,Central Coast Winter,TAKUSH RIVER,Central Coast,910012400,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,SMOKEHOUSE CREEK,Central Coast,910025600,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,NEKITE RIVER,Central Coast,910041700,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,LOCKHART GORDON CREEK,Central Coast,910107400,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,JOHNSTON CREEK,Central Coast,910118900,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,WANNOCK RIVER,Central Coast,910128800,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,KILBELLA RIVER,Central Coast,910130900,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,CHUCKWALLA RIVER,Central Coast,9.10E+13,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,CLYAK RIVER,Central Coast,910141200,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,MILTON RIVER,Central Coast,910146000,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,MACNAIR CREEK,Central Coast,910150900,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,ELIZABETH LAKE CREEK,Central Coast,910193700,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,KOEYE RIVER,Central Coast,910212200,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,NAMU RIVER,Central Coast,910216500,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,NOOTUM RIVER,Central Coast,910225900,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,KWATNA RIVER,Central Coast,910246500,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,ASSEEK RIVER,Central Coast,910273700,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,TALEOMEY RIVER,Central Coast,910275900,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,NOEICK RIVER,Central Coast,910276400,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,NOOSESECK RIVER,Central Coast,910296200,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,KIMSQUIT RIVER,Central Coast,910322400,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,SKOWQUILTZ RIVER,Central Coast,910334000,Cent. Coast Winter,,South North Transition,Winter,,,,,
682,Central Coast Winter,PINE RIVER,Central Coast,910441000,Cent. Coast Winter,,South North Transition,Winter,,,,,
683,Transition Summer,BELLA COOLA RIVER,Bella Coola Dean,910290700,Transition Summer,,South North Transition,Summer,W CS,,,,
683,Transition Summer,DEAN RIVER,Bella Coola Dean,910318700,Transition Summer,,South North Transition,Summer,W CS,,,,
780,Mid Fraser Summer,SETON RIVER,Mid Fraser,100235900,Mid Fraser  Summer,,Interior,Interior Summer,IS,,,,
780,Mid Fraser Summer,BRIDGE RIVER,Mid Fraser,100241900,Mid Fraser  Summer,,Interior,Interior Summer,IS,,,,
780,Mid Fraser Summer,CHILCOTIN RIVER,Mid Fraser,150,Mid Fraser  Summer,,Interior,Interior Summer,IS,,,,
780,Mid Fraser Summer,TASEKO RIVER,Mid Fraser,1.50E+13,Mid Fraser  Summer,,Interior,Interior Summer,IS,,,,
780,Mid Fraser Summer,QUESNEL RIVER,Mid Fraser,160,Mid Fraser  Summer,,Interior,Interior Summer,IS,,,,
781,Thompson Summer,THOMPSON RIVER,Thompson,120,Thompson Summer,,Interior,Interior Summer,IS,,,,
781,Thompson Summer,NICOLA RIVER,Thompson,120246600,Thompson Summer,,Interior,Interior Summer,IS,,,,
781,Thompson Summer,BONAPARTE RIVER,Thompson,120506800,Thompson Summer,,Interior,Interior Summer,IS,,,,
781,Thompson Summer,DEADMAN RIVER,Thompson,120714600,Thompson Summer,,Interior,Interior Summer,IS,,,,
782,Lower Fraser Winter,COQUITLAM RIVER,Lower Fraser,100024500,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,PITT RIVER,Lower Fraser,100026700,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,ALOUETTE RIVER,Lower Fraser,1.00E+13,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,KANAKA CREEK,Lower Fraser,100037400,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,SALMON RIVER,Lower Fraser,100038800,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,NORRISH CREEK,Lower Fraser,100064000,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,VEDDER - CHILLIWACK RIVE,Lower Fraser,1.00E+13,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,CHEHALIS RIVER,Lower Fraser,110090200,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,WEAVER CREEK,Lower Fraser,110149200,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,COGBURN CREEK,Lower Fraser,110535100,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,BIG SILVER CREEK,Lower Fraser,110599000,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,LILLOOET RIVER,Lower Fraser,119,L. Fraser Winter,,South Coast,Winter,,,,,
782,Lower Fraser Winter,BIRKENHEAD RIVER,Lower Fraser,119425100,L. Fraser Winter,,South Coast,Winter,,,,,
783,Fraser Canyon Summer,NAHATLATCH RIVER,Fraser Canyon,100170100,Fraser Canyon  Summer,,Coast Interior Transition,Interior Summer,W IS,,,,
783,Fraser Canyon Summer,STEIN RIVER,Fraser Canyon,100197200,Fraser Canyon  Summer,,Coast Interior Transition,Interior Summer,W IS,,,,
784,Lower Fraser Summer,SILVERHOPE CREEK,Lower Fraser,100112900,L. Fraser Summer,,South Coast,Summer,W CS,,,,
784,Lower Fraser Summer,COQUIHALLA RIVER,Lower Fraser,100115400,L. Fraser Summer,,South Coast,Summer,W CS,,,,
785,Boundary Bay Winter,CAMPBELL RIVER,Boundary Bay,900000500,Boundary Bay Winter,,South Coast,Winter,,,,,
785,Boundary Bay Winter,NICOMEKL RIVER,Boundary Bay,900004300,Boundary Bay Winter,,South Coast,Winter,,,,,
785,Boundary Bay Winter,SERPENTINE RIVER,Boundary Bay,900005500,Boundary Bay Winter,,South Coast,Winter,,,,,
880,Queen Charlotte Island Winter,CAPE BALL RIVER,Queen Charlotte Islands,940049200,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,MAYER RIVER,Queen Charlotte Islands,940053500,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,TLELL RIVER,Queen Charlotte Islands,940057000,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,HONNA RIVER,Queen Charlotte Islands,940103900,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,BONANZA CREEK,Queen Charlotte Islands,940332900,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,TARTU INLET OUTER CREEK,Queen Charlotte Islands,940348300,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,MERCER CREEK,Queen Charlotte Islands,940440100,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,OTARD CREEK,Queen Charlotte Islands,940516500,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,CAVE CREEK,Queen Charlotte Islands,940544800,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,HAINES CREEK,Queen Charlotte Islands,940560600,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,JALUN RIVER,Queen Charlotte Islands,940620200,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,DAVIDSON CREEK,Queen Charlotte Islands,940661700,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,NADEN RIVER,Queen Charlotte Islands,940665100,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,LIGNITE CREEK,Queen Charlotte Islands,940672400,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,AIN RIVER,Queen Charlotte Islands,940768700,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,AWUN RIVER,Queen Charlotte Islands,940818300,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,DATLAMEN CREEK,Queen Charlotte Islands,940851600,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,MAMIN RIVER,Queen Charlotte Islands,940874800,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,YAKOUN RIVER,Queen Charlotte Islands,940896100,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,SANGAN RIVER,Queen Charlotte Islands,940974000,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,HIELLEN RIVER,Queen Charlotte Islands,940987200,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,COPPER CREEK,Queen Charlotte Islands,950010400,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,PALLANT CREEK,Queen Charlotte Islands,950065000,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,BOOMCHAIN BAY CREEK,Queen Charlotte Islands,950907200,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,DEENA CREEK,Queen Charlotte Islands,950974300,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,SKEDANS CREEK,Queen Charlotte Islands,9.55E+13,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
880,Queen Charlotte Island Winter,WINDY BAY CREEK,Queen Charlotte Islands,9.55E+13,Queen Charlotte Is. Winter,,North Coast,Winter,,,,,
980,South Coast Winter,INDIAN RIVER,South Coast ,900056000,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,LYNN CREEK,South Coast ,900066900,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,STAWAMUS RIVER,South Coast ,900091000,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,SQUAMISH RIVER,South Coast ,900097600,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,MAMQUAM RIVER,South Coast ,9.00E+13,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,CHEAKAMUS RIVER,South Coast ,9.00E+13,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,MCNAB CREEK,South Coast ,900106300,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,RAINY RIVER,South Coast ,900109100,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,MCNAIR CREEK,South Coast ,900109700,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,CHAPMAN CREEK,South Coast ,900120400,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,TZOONIE RIVER,South Coast ,900195000,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,VANCOUVER RIVER,South Coast ,900210100,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,DESERTED RIVER,South Coast ,900220600,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,SKWAWKA RIVER,South Coast ,900233000,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,BRITTAIN RIVER,South Coast ,900244600,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,LANG CREEK,South Coast ,900278100,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,SLIAMMON CREEK,South Coast ,900286000,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,THEODOSIA RIVER,South Coast ,900309400,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,TOBA RIVER,South Coast ,900349300,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,LITTLE TOBA RIVER,South Coast ,9.00E+13,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,ORFORD RIVER,South Coast ,900391500,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,SOUTHGATE RIVER,South Coast ,900404100,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,TEAQUAHAN RIVER,South Coast ,900406500,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,HOMATHKO RIVER,South Coast ,900406900,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,BEAR RIVER,South Coast ,900411200,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,APPLE RIVER,South Coast ,900469600,S. Coast  Winter,,South Coast,Winter,,,,,
980,South Coast Winter,STAFFORD RIVER,South Coast ,900471200,S. Coast  Winter,,South Coast,Winter,,,,,
